path,root,project,year,site,level
../MarineGEO-data-L1/BenthicPhotos/2015_BT,MarineGEO-data-L1,BenthicPhotos,2015,BT,1
../MarineGEO-data-L1/BenthicPhotos/2015_CB,MarineGEO-data-L1,BenthicPhotos,2015,CB,1
../MarineGEO-data-L1/BenthicPhotos/2016_BT,MarineGEO-data-L1,BenthicPhotos,2016,BT,1
../MarineGEO-data-L1/BenthicPhotos/2016_CB,MarineGEO-data-L1,BenthicPhotos,2016,CB,1
../MarineGEO-data-L1/BenthicPhotos/2016_FHL,MarineGEO-data-L1,BenthicPhotos,2016,FHL,1
../MarineGEO-data-L1/BenthicPhotos/2017_BT,MarineGEO-data-L1,BenthicPhotos,2017,BT,1
../MarineGEO-data-L1/BenthicPhotos/2017_CB,MarineGEO-data-L1,BenthicPhotos,2017,CB,1
../MarineGEO-data-L1/BenthicPhotos/2017_HAK,MarineGEO-data-L1,BenthicPhotos,2017,HAK,1
../MarineGEO-data-L1/BenthicPhotos/2017_KB,MarineGEO-data-L1,BenthicPhotos,2017,KB,1
../MarineGEO-data-L1/BenthicPhotos/2017_TAS,MarineGEO-data-L1,BenthicPhotos,2017,TAS,1
../MarineGEO-data-L1/MangrovePQT/2017_KB,MarineGEO-data-L1,MangrovePQT,2017,KB,1
../MarineGEO-data-L1/Squidpops/2014_CB,MarineGEO-data-L1,Squidpops,2014,CB,1
../MarineGEO-data-L1/Squidpops/2014_EW,MarineGEO-data-L1,Squidpops,2014,EW,1
../MarineGEO-data-L1/Squidpops/2015_BT,MarineGEO-data-L1,Squidpops,2015,BT,1
../MarineGEO-data-L1/Squidpops/2015_CB,MarineGEO-data-L1,Squidpops,2015,CB,1
../MarineGEO-data-L1/Squidpops/2015_EW,MarineGEO-data-L1,Squidpops,2015,EW,1
../MarineGEO-data-L1/Squidpops/2016_BT,MarineGEO-data-L1,Squidpops,2016,BT,1
../MarineGEO-data-L1/Squidpops/2016_CB,MarineGEO-data-L1,Squidpops,2016,CB,1
../MarineGEO-data-L1/Squidpops/2016_EW,MarineGEO-data-L1,Squidpops,2016,EW,1
../MarineGEO-data-L1/Squidpops/2016_FHL,MarineGEO-data-L1,Squidpops,2016,FHL,1
../MarineGEO-data-L1/Squidpops/2017,MarineGEO-data-L1,Squidpops,2017,NA,1
../MarineGEO-data-L1/Squidpops/2017_BT,MarineGEO-data-L1,Squidpops,2017,BT,1
../MarineGEO-data-L1/Squidpops/2017_CB,MarineGEO-data-L1,Squidpops,2017,CB,1
../MarineGEO-data-L1/Squidpops/Summary,MarineGEO-data-L1,Squidpops,Summary,NA,1
../MarineGEO-data-L1/UAVimagery/2016_CB,MarineGEO-data-L1,UAVimagery,2016,CB,1
../MarineGEO-data-L1/UAVimagery/2016_HAK,MarineGEO-data-L1,UAVimagery,2016,HAK,1
../MarineGEO-data-L1/UAVimagery/2017_EW,MarineGEO-data-L1,UAVimagery,2017,EW,1
../MarineGEO-data-L1/UAVimagery/2017_FHL,MarineGEO-data-L1,UAVimagery,2017,FHL,1
../MarineGEO-data-L1/UAVimagery/2017_TAS,MarineGEO-data-L1,UAVimagery,2017,TAS,1
../MarineGEO-data-L1/Weedpops/2014_CB,MarineGEO-data-L1,Weedpops,2014,CB,1
../MarineGEO-data-L1/Weedpops/2015_CB,MarineGEO-data-L1,Weedpops,2015,CB,1
../MarineGEO-data-L1/Weedpops/2016_CB,MarineGEO-data-L1,Weedpops,2016,CB,1
../MarineGEO-data-L1/Weedpops/2017_BT,MarineGEO-data-L1,Weedpops,2017,BT,1
../MarineGEO-data-L1/Weedpops/2017_CB,MarineGEO-data-L1,Weedpops,2017,CB,1
